"Observation.ID","Observation.Date","Year","Sex","ObsAge","z.Age","ALS","z.ALS","Repro.Stat","Associates","anon_id"
754,"1988-07-18",1988,"FEMALE",4247,-0.544754969593952,15283,1.16691597387822,"Not Calf",6,"ID1368"
754,"1988-07-18",1988,"FEMALE",1355,-1.28339157892905,3608,-1.84015046617745,"Calf",6,"ID1614"
754,"1988-07-18",1988,"FEMALE",7199,0.209206050723199,12339,0.408645858287311,"Not Calf",6,"ID1616"
754,"1988-07-18",1988,"FEMALE",7565,0.30268495771374,12918,0.557775748547888,"Not Calf",6,"ID1776"
755,"1988-07-18",1988,"FEMALE",3547,-0.723539764384604,10494,-0.0665607868435417,"Not Calf",0,"ID0858"
759,"1988-07-21",1988,"FEMALE",7933,0.396674678403683,13801,0.7852052703097,"Not Calf",8,"ID1359"
761,"1988-07-21",1988,"FEMALE",628,-1.46907235866162,14141,0.872777226593976,"Calf",8,"ID0402"
761,"1988-07-21",1988,"FEMALE",1724,-1.1891464513894,9025,-0.444923150907077,"Not Calf",8,"ID0576"
761,"1988-07-21",1988,"FEMALE",8298,0.489898178544524,11664,0.234789768605292,"Not Calf",8,"ID0721"
761,"1988-07-21",1988,"MALE",6107,-0.0696982291502183,12747,0.513732205828443,"Not Calf",8,"ID1023"
761,"1988-07-21",1988,"MALE",3915,-0.629550043694661,11581,0.213411908688836,"Not Calf",8,"ID1331"
761,"1988-07-21",1988,"FEMALE",2819,-0.909475950966883,4932,-1.49913496582338,"Not Calf",8,"ID1502"
761,"1988-07-21",1988,"FEMALE",2089,-1.09592295124856,5044,-1.47028773316503,"Not Calf",8,"ID1936"
761,"1988-07-21",1988,"FEMALE",6472,0.0235252709906218,8595,-0.555675919148956,"Not Calf",8,"ID1948"
761,"1988-07-21",1988,"FEMALE",628,-1.46907235866162,10948,0.050373531253698,"Calf",8,"ID1951"
763,"1988-07-21",1988,"FEMALE",8298,0.489898178544524,15659,1.26376025494554,"Not Calf",5,"ID1078"
763,"1988-07-21",1988,"FEMALE",7568,0.303451178262843,14134,0.870974274552829,"Not Calf",5,"ID1140"
763,"1988-07-21",1988,"MALE",1724,-1.1891464513894,9053,-0.43771134274249,"Calf",5,"ID1549"
765,"1988-07-22",1988,"FEMALE",5742,-0.162921729291058,9219,-0.394955622909578,"Not Calf",1,"ID1920"
765,"1988-07-22",1988,"FEMALE",1359,-1.28236995153024,4485,-1.61426633187947,"Calf",1,"ID1922"
768,"1988-07-22",1988,"MALE",9030,0.676855992525606,15217,1.14991671177598,"Not Calf",7,"ID0318"
768,"1988-07-22",1988,"FEMALE",3551,-0.7225181369858,10494,-0.0665607868435417,"Not Calf",7,"ID0858"
768,"1988-07-22",1988,"FEMALE",8299,0.490153585394225,15659,1.26376025494554,"Not Calf",7,"ID1078"
768,"1988-07-22",1988,"FEMALE",1359,-1.28236995153024,3608,-1.84015046617745,"Calf",7,"ID1614"
768,"1988-07-22",1988,"FEMALE",7203,0.210227678122003,12339,0.408645858287311,"Not Calf",7,"ID1616"
768,"1988-07-22",1988,"FEMALE",3186,-0.815741637126641,14225,0.894412651087739,"Not Calf",7,"ID1638"
768,"1988-07-22",1988,"FEMALE",5012,-0.349368729572739,6135,-1.18928477932343,"Not Calf",7,"ID1764"
768,"1988-07-22",1988,"FEMALE",7569,0.303706585112544,9008,-0.449301748721291,"Not Calf",7,"ID1929"
770,"1988-07-25",1988,"MALE",5745,-0.162155508741956,14809,1.04483036423485,"Not Calf",1,"ID0078"
770,"1988-07-25",1988,"MALE",3554,-0.721751916436698,14826,1.04920896204906,"Not Calf",1,"ID0601"
770,"1988-07-25",1988,"FEMALE",3554,-0.721751916436698,10494,-0.0665607868435417,"Not Calf",1,"ID0858"
770,"1988-07-25",1988,"FEMALE",7937,0.397696305802487,13801,0.7852052703097,"Not Calf",1,"ID1359"
770,"1988-07-25",1988,"FEMALE",7572,0.304472805661647,12918,0.557775748547888,"Not Calf",1,"ID1776"
770,"1988-07-25",1988,"FEMALE",1362,-1.28160373098114,4485,-1.61426633187947,"Calf",1,"ID1922"
775,"1988-07-31",1988,"FEMALE",4598,-0.455107165348925,14428,0.946698260280998,"Not Calf",7,"ID1172"
778,"1988-07-31",1988,"FEMALE",7943,0.399228746900693,13801,0.7852052703097,"Not Calf",0,"ID1359"
783,"1988-07-31",1988,"FEMALE",6482,0.0260793394876312,17932,1.84920453916366,"Not Calf",3,"ID0145"
783,"1988-07-31",1988,"FEMALE",2829,-0.906921882469873,4932,-1.49913496582338,"Not Calf",3,"ID1502"
783,"1988-07-31",1988,"FEMALE",2099,-1.09336888275155,5044,-1.47028773316503,"Not Calf",3,"ID1936"
783,"1988-07-31",1988,"FEMALE",6482,0.0260793394876312,8595,-0.555675919148956,"Not Calf",3,"ID1948"
783,"1988-07-31",1988,"FEMALE",638,-1.46651829016462,10948,0.050373531253698,"Calf",3,"ID1951"
788,"1988-08-05",1988,"FEMALE",3565,-0.718942441089987,10494,-0.0665607868435417,"Not Calf",4,"ID0858"
788,"1988-08-05",1988,"FEMALE",4265,-0.540157646299335,15283,1.16691597387822,"Not Calf",4,"ID1368"
788,"1988-08-05",1988,"FEMALE",7583,0.307282281008357,12918,0.557775748547888,"Not Calf",4,"ID1776"
789,"1988-08-06",1988,"FEMALE",4604,-0.453574724250719,14428,0.946698260280998,"Not Calf",4,"ID1172"
790,"1988-08-06",1988,"FEMALE",3566,-0.718687034240286,10494,-0.0665607868435417,"Not Calf",1,"ID0858"
790,"1988-08-06",1988,"FEMALE",4266,-0.539902239449634,15283,1.16691597387822,"Not Calf",1,"ID1368"
791,"1988-08-06",1988,"FEMALE",5757,-0.159090626545545,9219,-0.394955622909578,"Not Calf",1,"ID1920"
791,"1988-08-06",1988,"FEMALE",1374,-1.27853884878473,4485,-1.61426633187947,"Calf",1,"ID1922"
803,"1988-08-10",1988,"FEMALE",10144,0.961379223092444,11362,0.15700526625867,"Not Calf",3,"ID0344"
803,"1988-08-10",1988,"FEMALE",3570,-0.717665406841483,10494,-0.0665607868435417,"Not Calf",3,"ID0858"
803,"1988-08-10",1988,"FEMALE",4270,-0.53888061205083,15283,1.16691597387822,"Not Calf",3,"ID1368"
804,"1988-08-10",1988,"FEMALE",8318,0.495006315538542,15659,1.26376025494554,"Not Calf",5,"ID1078"
804,"1988-08-10",1988,"FEMALE",7953,0.401782815397702,13801,0.7852052703097,"Not Calf",5,"ID1359"
804,"1988-08-10",1988,"MALE",1744,-1.18403831439538,9053,-0.43771134274249,"Calf",5,"ID1549"
806,"1988-08-10",1988,"FEMALE",6492,0.0286334079846405,17932,1.84920453916366,"Not Calf",13,"ID0145"
